geo_point_2d;Numéro ID inspection;Nom de l'installation;Commune;Code Département;Code Postal;Code NAF;SIRET;Code Régime;Libellé Régime;Directive IPPC;Code Seveso;Statut Seveso;Code Famille;Libellé Famille;Fiche URL du site;Précision des coordonnées;Code INSEE;EPCI;Département;Région
47.7940480882,7.19931305149;67.522;BIMA 83-Rue de l'industrie;CERNAY;68;68700;20.12Z;32786792500049;S;Autorisation avec servitudes;Non soumis à la directive IPPC;AS;Seveso seuil haut;IN;Industries;http://www.installationsclassees.developpement-durable.gouv.fr/ficheEtablissement.php?champEtablBase=67&champEtablNumero=522;Coordonnées précises;68063;CC de Thann-Cernay;HAUT-RHIN;GRAND EST
49.1431635546,6.7086376348;62.1772;TPF;ST AVOLD;57;57500;20.16Z;42889111300063;S;Autorisation avec servitudes;Soumis à la directive IPPC;AS;Seveso seuil haut;IN;Industries;http://www.installationsclassees.developpement-durable.gouv.fr/ficheEtablissement.php?champEtablBase=62&champEtablNumero=1772;Coordonnées précises;57606;CA Saint-Avold Synergie;MOSELLE;GRAND EST
45.5743314551,4.91685908548;61.3261;SPMR;VILLETTE DE VIENNE;38;38200;49.50Z;62204452700068;S;Autorisation avec servitudes;Non soumis à la directive IPPC;AS;Seveso seuil haut;IN;Industries;http://www.installationsclassees.developpement-durable.gouv.fr/ficheEtablissement.php?champEtablBase=61&champEtablNumero=3261;Coordonnées précises;38558;CA Vienne Condrieu;ISERE;AUVERGNE-RHONE-ALPES
47.5317463882,4.55852348553;54.1966;DIJON CEREALES-darcey;DARCEY;21;21150;;;A;Autorisation;Non soumis à la directive IPPC;SB;Seveso seuil bas;IN;Industries;http://www.installationsclassees.developpement-durable.gouv.fr/ficheEtablissement.php?champEtablBase=54&champEtablNumero=1966;Valeur Initiale;21226;CC du Pays d'Alésia et de la Seine;COTE-D'OR;BOURGOGNE-FRANCHE-COMTE
46.9042051499,-1.37448964602;63.966;BUTAGAZ SAS;L HERBERGEMENT;85;85260;46.71Z;40296039700246;S;Autorisation avec servitudes;Non soumis à la directive IPPC;AS;Seveso seuil haut;IN;Industries;http://www.installationsclassees.developpement-durable.gouv.fr/ficheEtablissement.php?champEtablBase=63&champEtablNumero=966;Coordonnées précises;85108;CC Terres de Montaigu, Cc Montaigu-Rocheservière;VENDEE;PAYS DE LA LOIRE
45.2015268,5.8260644366;61.2904;SOBEGAL;DOMENE;38;38420;;9588089400035;S;Autorisation avec servitudes;Non soumis à la directive IPPC;AS;Seveso seuil haut;IN;Industries;http://www.installationsclassees.developpement-durable.gouv.fr/ficheEtablissement.php?champEtablBase=61&champEtablNumero=2904;Coordonnées précises;38150;Métropole Grenoble-Alpes-Métropole;ISERE;AUVERGNE-RHONE-ALPES
49.4732652336,0.55129448498;58.349;ESSO RAFFINAGE;NOTRE DAME DE GRAVENCHON;76;76330;19.20Z;37991423700027;S;Autorisation avec servitudes;Soumis à la directive IPPC;AS;Seveso seuil haut;IN;Industries;http://www.installationsclassees.developpement-durable.gouv.fr/ficheEtablissement.php?champEtablBase=58&champEtablNumero=349;Adresse postale;76476;CA Caux Seine Agglo;SEINE-MARITIME;NORMANDIE
47.8149800356,7.20722930832;67.2161;DU PONT DE NEMOURS-Uffholtz Sat. 2;UFFHOLTZ;68;68700;20.20Z;59205918200564;A;Autorisation;Soumis à la directive IPPC;SB;Seveso seuil bas;IN;Industries;http://www.installationsclassees.developpement-durable.gouv.fr/ficheEtablissement.php?champEtablBase=67&champEtablNumero=2161;Coordonnées précises;68342;CC de Thann-Cernay;HAUT-RHIN;GRAND EST
49.3098778871,1.00816798952;58.412;SANOFI CHIMIE SA;ST AUBIN LES ELBEUF;76;76410;21.10Z;33442896800047;A;Autorisation;Non soumis à la directive IPPC;SB;Seveso seuil bas;IN;Industries;http://www.installationsclassees.developpement-durable.gouv.fr/ficheEtablissement.php?champEtablBase=58&champEtablNumero=412;Adresse postale;76561;Métropole Rouen Normandie;SEINE-MARITIME;NORMANDIE
49.4928962281,0.210644361952;58.439;CHEVRON ORONITE SAS;GONFREVILLE L ORCHER;76;76700;20.59Z;56206163000025;S;Autorisation avec servitudes;Soumis à la directive IPPC;AS;Seveso seuil haut;IN;Industries;http://www.installationsclassees.developpement-durable.gouv.fr/ficheEtablissement.php?champEtablBase=58&champEtablNumero=439;Adresse postale;76305;CU Le Havre Seine Métropole;SEINE-MARITIME;NORMANDIE
47.4658902219,3.52321472656;54.1338;RHODIA OPERATIONS (groupe solvay);CLAMECY;58;58500;20.13B;62203708300137;S;Autorisation avec servitudes;Soumis à la directive IPPC;AS;Seveso seuil haut;IN;Industries;http://www.installationsclassees.developpement-durable.gouv.fr/ficheEtablissement.php?champEtablBase=54&champEtablNumero=1338;Coordonnées précises;58079;CC Haut Nivernais-Val d'Yonne;NIEVRE;BOURGOGNE-FRANCHE-COMTE
47.8062244664,7.11296985125;67.433;Potasse et Produits Chimiques (PPC);VIEUX THANN;68;68800;20.13B;77564285300011;S;Autorisation avec servitudes;Soumis à la directive IPPC;AS;Seveso seuil haut;IN;Industries;http://www.installationsclassees.developpement-durable.gouv.fr/ficheEtablissement.php?champEtablBase=67&champEtablNumero=433;Coordonnées précises;68334;CC de Thann-Cernay;HAUT-RHIN;GRAND EST
49.6576993404,0.154844486211;58.434;CIM Antifer;ST JOUIN BRUNEVAL;76;76280;52.10B;39098263500067;S;Autorisation avec servitudes;Non soumis à la directive IPPC;AS;Seveso seuil haut;IN;Industries;http://www.installationsclassees.developpement-durable.gouv.fr/ficheEtablissement.php?champEtablBase=58&champEtablNumero=434;Adresse postale;76595;CU Le Havre Seine Métropole;SEINE-MARITIME;NORMANDIE
49.4915734355,0.512475685462;58.323;SODES;LILLEBONNE;76;76170;20.14Z;662035138;;;Non soumis à la directive IPPC;AS;Seveso seuil haut;IN;Industries;http://www.installationsclassees.developpement-durable.gouv.fr/ficheEtablissement.php?champEtablBase=58&champEtablNumero=323;Adresse postale;76384;CA Caux Seine Agglo;SEINE-MARITIME;NORMANDIE
47.1983595208,5.85881819097;59.233;Terre Comtoise;DANNEMARIE SUR CRETE;25;25410;10.91Z;77557095500010;A;Autorisation;Non soumis à la directive IPPC;SB;Seveso seuil bas;IN;Industries;http://www.installationsclassees.developpement-durable.gouv.fr/ficheEtablissement.php?champEtablBase=59&champEtablNumero=233;Coordonnées précises;25195;CA du Grand Besançon;DOUBS;BOURGOGNE-FRANCHE-COMTE
43.424184756,4.90190096355;64.2139;ELENGY (CAVAOU);FOS SUR MER;13;13270;;45143878200034;S;Autorisation avec servitudes;Non soumis à la directive IPPC;AS;Seveso seuil haut;IN;Industries;http://www.installationsclassees.developpement-durable.gouv.fr/ficheEtablissement.php?champEtablBase=64&champEtablNumero=2139;Valeur Initiale;13039;;BOUCHES-DU-RHONE;PROVENCE-ALPES-COTE D'AZUR
48.3856762664,2.97894474826;65.1943;YARA France;MONTEREAU FAULT YONNE;77;77130;;622042422;;;Non soumis à la directive IPPC;AS;Seveso seuil haut;IN;Industries;http://www.installationsclassees.developpement-durable.gouv.fr/ficheEtablissement.php?champEtablBase=65&champEtablNumero=1943;Coordonnées précises;77305;CC Pays de Montereau;SEINE-ET-MARNE;ILE-DE-FRANCE
48.4136517555,7.63373558327;67.675;DOW FRANCE SAS Erstein;ERSTEIN;67;67150;20.16Z;64200661300250;A;Autorisation;Soumis à la directive IPPC;SB;Seveso seuil bas;IN;Industries;http://www.installationsclassees.developpement-durable.gouv.fr/ficheEtablissement.php?champEtablBase=67&champEtablNumero=675;Coordonnées précises;67130;CC du Canton d'Erstein;BAS-RHIN;GRAND EST
50.6210092435,2.4788934048;70.824;APERAM ISBERGUES;ISBERGUES;62;62330;24.10Z;38371908500045;S;Autorisation avec servitudes;Non soumis à la directive IPPC;AS;Seveso seuil haut;IN;Industries;http://www.installationsclassees.developpement-durable.gouv.fr/ficheEtablissement.php?champEtablBase=70&champEtablNumero=824;Coordonnées précises;62473;CA de Béthune-Bruay, Artois-Lys Romane;PAS-DE-CALAIS;HAUTS-DE-FRANCE
47.9704586502,0.891468822679;100.1766;DEC  Depôts Electrolytiques et Chimiques;CORMENON;41;41170;25.61Z;77569239500038;A;Autorisation;Soumis à la directive IPPC;SB;Seveso seuil bas;IN;Industries;http://www.installationsclassees.developpement-durable.gouv.fr/ficheEtablissement.php?champEtablBase=100&champEtablNumero=1766;Coordonnées précises;41060;CC des Collines du Perche;LOIR-ET-CHER;CENTRE-VAL DE LOIRE
45.5559290756,3.25565528444;56.372;CONSTELLIUM ISSOIRE;ISSOIRE;63;63500;24.42Z;67201408100158;A;Autorisation;Soumis à la directive IPPC;SB;Seveso seuil bas;IN;Industries;http://www.installationsclassees.developpement-durable.gouv.fr/ficheEtablissement.php?champEtablBase=56&champEtablNumero=372;Coordonnées précises;63178;CA Pays d'Issoire;PUY-DE-DOME;AUVERGNE-RHONE-ALPES
47.8005977953,7.19410511299;67.421;DU PONT DE NEMOURS-Cernay;CERNAY;68;68700;20.20Z;59205918200069;S;Autorisation avec servitudes;Soumis à la directive IPPC;AS;Seveso seuil haut;IN;Industries;http://www.installationsclassees.developpement-durable.gouv.fr/ficheEtablissement.php?champEtablBase=67&champEtablNumero=421;Coordonnées précises;68063;CC de Thann-Cernay;HAUT-RHIN;GRAND EST
48.5722093523,2.47711946076;65.3972;ALTIS SEMICONDUCTOR;CORBEIL ESSONNES;91;91100;;55211846500160;A;Autorisation;Soumis à la directive IPPC;SB;Seveso seuil bas;IN;Industries;http://www.installationsclassees.developpement-durable.gouv.fr/ficheEtablissement.php?champEtablBase=65&champEtablNumero=3972;Coordonnées précises;91174;CA Grand Paris Sud Seine Essonne Sénart;ESSONNE;ILE-DE-FRANCE
